Name of MALDI Data,X,Y,Z,Radii
0_R00X079Y151,-9.8028,32.5449,50.2958,1
0_R00X079Y152,-9.8272,32.5284,50.3552,1
0_R00X079Y153,-9.8555,32.5122,50.4114,1
0_R00X079Y154,-9.9164,32.4756,50.504,1
0_R00X079Y155,-10.0204,32.419,50.6305,1
0_R00X079Y156,-10.1283,32.3568,50.7308,1
0_R00X079Y157,-10.2135,32.3028,50.8266,1
0_R00X079Y158,-10.2958,32.2514,50.9182,1
0_R00X079Y159,-10.4104,32.1884,51.0261,1
0_R00X079Y160,-10.5183,32.1241,51.1254,1
0_R00X079Y161,-10.5883,32.0794,51.1752,1
0_R00X079Y162,-10.6959,32.0252,51.2214,1
0_R00X079Y163,-10.8393,31.9522,51.2532,1
0_R00X079Y164,-10.9732,31.868,51.2643,1
0_R00X079Y165,-11.1452,31.7823,51.2747,1
0_R00X080Y118,-11.2683,32.3538,51.5109,1
0_R00X080Y119,-11.0353,32.473,51.5367,1
0_R00X080Y120,-10.8793,32.5539,51.5356,1
0_R00X080Y121,-10.6885,32.6464,51.5121,1
0_R00X080Y122,-10.5588,32.703,51.4574,1
0_R00X080Y123,-10.5332,32.7192,51.361,1
0_R00X080Y124,-10.482,32.7623,51.2636,1
0_R00X080Y125,-10.4152,32.7933,51.1612,1
0_R00X080Y126,-10.3323,32.8301,51.0578,1
0_R00X080Y127,-10.2348,32.891,50.9461,1
0_R00X080Y128,-10.1342,32.9468,50.8415,1
0_R00X080Y129,-10.0332,32.99,50.6992,1
0_R00X080Y130,-10.0124,33.011,50.6214,1
0_R00X080Y131,-9.9992,33.0173,50.5179,1
0_R00X080Y132,-9.9897,33.0264,50.4312,1
0_R00X080Y133,-9.9957,33.026,50.3421,1
0_R00X080Y134,-10.0131,33.0085,50.2161,1
0_R00X080Y135,-10.0221,33.0058,50.1511,1
0_R00X080Y136,-10.0297,33.0167,50.0826,1
0_R00X080Y137,-10.032,33.0153,49.9746,1
0_R00X080Y138,-10.0356,33.0285,49.8746,1
0_R00X080Y139,-10.0428,33.0429,49.7827,1
0_R00X080Y140,-10.0437,33.048,49.6881,1
0_R00X080Y141,-10.0399,33.046,49.6228,1
0_R00X080Y142,-10.0314,33.0572,49.527,1
0_R00X080Y143,-10.0254,33.0658,49.4713,1
0_R00X080Y144,-10.013,33.0711,49.4144,1
0_R00X080Y145,-10.0003,33.0787,49.3634,1
0_R00X080Y146,-9.9818,33.0837,49.3146,1
0_R00X080Y147,-9.9554,33.0924,49.2639,1
0_R00X080Y148,-9.9291,33.1033,49.2191,1
0_R00X080Y149,-9.9045,33.1096,49.1774,1
0_R00X080Y150,-9.8784,33.1141,49.134,1
0_R00X080Y151,-9.8474,33.1228,49.0828,1
0_R00X080Y152,-9.8247,33.135,49.0334,1
0_R00X080Y153,-9.8132,33.1412,48.9875,1
0_R00X080Y154,-9.804,33.1412,48.9291,1
0_R00X080Y155,-9.791,33.1342,48.8571,1
0_R00X080Y156,-9.7799,33.1315,48.781,1
0_R00X080Y157,-9.7731,33.1305,48.7164,1
0_R00X080Y158,-9.7632,33.1288,48.6546,1
0_R00X080Y159,-9.754,33.1255,48.6011,1
0_R00X080Y160,-9.7449,33.1236,48.5483,1
0_R00X080Y161,-9.7364,33.1229,48.4831,1
0_R00X080Y162,-9.7246,33.118,48.4207,1
0_R00X080Y163,-9.7171,33.1148,48.3695,1
0_R00X080Y164,-9.712,33.1132,48.3177,1
0_R00X080Y165,-9.7082,33.1128,48.2516,1
0_R00X080Y166,-9.7013,33.1157,48.1651,1
0_R00X081Y118,-10.2031,33.6303,48.2144,1
0_R00X081Y119,-10.2249,33.6255,48.2631,1
0_R00X081Y120,-10.2495,33.6268,48.3273,1
0_R00X081Y121,-10.2674,33.6306,48.3772,1
0_R00X081Y122,-10.2832,33.6303,48.4398,1
0_R00X081Y123,-10.3008,33.6325,48.5296,1
0_R00X081Y124,-10.3129,33.6367,48.6023,1
0_R00X081Y125,-10.3163,33.6369,48.6779,1
0_R00X081Y126,-10.3235,33.6444,48.7539,1
0_R00X081Y127,-10.3256,33.6474,48.7978,1
0_R00X081Y128,-10.3299,33.6563,48.8733,1
0_R00X081Y129,-10.3327,33.6669,48.9541,1
0_R00X081Y130,-10.3361,33.6758,49.0225,1
0_R00X081Y131,-10.337,33.6878,49.1169,1
0_R00X081Y132,-10.3335,33.7005,49.2006,1
0_R00X081Y133,-10.3258,33.7106,49.2949,1
0_R00X081Y134,-10.3216,33.7214,49.3683,1
0_R00X081Y135,-10.3107,33.7371,49.504,1
0_R00X081Y136,-10.3034,33.7441,49.5792,1
0_R00X081Y137,-10.2957,33.7554,49.6781,1
0_R00X081Y138,-10.2874,33.7587,49.7511,1
0_R00X081Y139,-10.2808,33.7629,49.8168,1
0_R00X081Y140,-10.2733,33.7674,49.9102,1
0_R00X081Y141,-10.2687,33.7698,49.9933,1
0_R00X081Y142,-10.2655,33.7698,50.0608,1
0_R00X081Y143,-10.2674,33.7762,50.1383,1
0_R00X081Y144,-10.2658,33.7731,50.2073,1
0_R00X081Y145,-10.2735,33.7792,50.2736,1
0_R00X081Y146,-10.2835,33.7791,50.3338,1
0_R00X081Y147,-10.2931,33.774,50.3936,1
0_R00X081Y148,-10.3051,33.7687,50.4644,1
0_R00X081Y149,-10.3234,33.7607,50.549,1
0_R00X081Y150,-10.3521,33.7473,50.6751,1
0_R00X081Y151,-10.3741,33.7415,50.7545,1
0_R00X081Y152,-10.4011,33.7314,50.8406,1
0_R00X081Y153,-10.4318,33.7293,50.9264,1
0_R00X081Y154,-10.4561,33.7217,50.9988,1
0_R00X081Y155,-10.4921,33.7188,51.1142,1
0_R00X081Y156,-10.5238,33.7077,51.2115,1
0_R00X081Y157,-10.5686,33.6953,51.3134,1
0_R00X081Y158,-10.6376,33.6648,51.4299,1
0_R00X081Y159,-10.6996,33.6458,51.5348,1
0_R00X081Y160,-10.7455,33.6317,51.6124,1
0_R00X081Y161,-10.8004,33.6139,51.689,1
0_R00X081Y162,-10.8683,33.5908,51.7576,1
0_R00X081Y163,-10.9291,33.5644,51.8285,1
0_R00X081Y164,-10.9895,33.542,51.8997,1
0_R00X081Y165,-11.0666,33.5082,51.9638,1
0_R00X081Y166,-11.1496,33.4723,52.0156,1
0_R00X082Y122,-11.8238,33.8563,52.1161,1
0_R00X082Y123,-11.568,33.9945,52.209,1
0_R00X082Y124,-11.3792,34.0867,52.2475,1
0_R00X082Y125,-11.2336,34.1683,52.2654,1
0_R00X082Y126,-11.0478,34.2467,52.2319,1
0_R00X082Y127,-10.9562,34.3015,52.1375,1
0_R00X082Y128,-10.9019,34.3232,52.0512,1
0_R00X082Y129,-10.8572,34.3547,51.9504,1
0_R00X082Y130,-10.8141,34.3728,51.8392,1
0_R00X082Y131,-10.7879,34.3879,51.7517,1
0_R00X082Y132,-10.762,34.4055,51.6451,1
0_R00X082Y133,-10.7396,34.4188,51.5343,1
0_R00X082Y134,-10.7235,34.4281,51.4428,1
0_R00X082Y135,-10.7095,34.4388,51.3504,1
0_R00X082Y136,-10.6951,34.4608,51.2194,1
0_R00X082Y137,-10.6847,34.4714,51.1323,1
0_R00X082Y138,-10.6789,34.4779,51.0724,1
0_R00X082Y139,-10.6713,34.4841,50.9845,1
0_R00X082Y140,-10.6573,34.491,50.8804,1
0_R00X082Y141,-10.6482,34.5001,50.7977,1
0_R00X082Y142,-10.6419,34.5059,50.719,1
0_R00X082Y143,-10.6365,34.5075,50.6405,1
0_R00X082Y144,-10.6313,34.5088,50.5373,1
0_R00X082Y145,-10.6322,34.52,50.453,1
0_R00X082Y146,-10.6324,34.5263,50.385,1
0_R00X082Y147,-10.6299,34.525,50.3297,1
0_R00X082Y148,-10.6292,34.5271,50.2389,1
0_R00X082Y149,-10.6296,34.5247,50.1365,1
0_R00X082Y150,-10.633,34.5288,50.0867,1
0_R00X082Y151,-10.6368,34.5294,50.0216,1
0_R00X082Y152,-10.6424,34.5359,49.9705,1
0_R00X082Y153,-10.6446,34.5313,49.909,1
0_R00X082Y154,-10.6484,34.5327,49.86,1
0_R00X082Y155,-10.6548,34.5366,49.7919,1
0_R00X082Y156,-10.6626,34.5397,49.7242,1
0_R00X082Y157,-10.6715,34.539,49.6349,1
0_R00X082Y158,-10.6816,34.5426,49.5425,1
0_R00X082Y159,-10.6871,34.5405,49.4781,1
0_R00X082Y160,-10.6942,34.5366,49.3825,1
0_R00X082Y161,-10.6994,34.5351,49.3214,1
0_R00X082Y162,-10.7063,34.5366,49.247,1
0_R00X082Y163,-10.7127,34.5343,49.1584,1
0_R00X082Y164,-10.72,34.5365,49.0889,1
0_R00X082Y165,-10.7283,34.5413,49.0122,1
0_R00X082Y166,-10.7351,34.546,48.9522,1
0_R00X082Y167,-10.7419,34.5513,48.8777,1
0_R00X083Y130,-11.025,35.0893,49.0025,1
0_R00X083Y131,-11.0203,35.0957,49.1245,1
0_R00X083Y132,-11.009,35.1005,49.2238,1
0_R00X083Y133,-10.9902,35.1104,49.3591,1
0_R00X083Y134,-10.9714,35.1192,49.4546,1
0_R00X083Y135,-10.9403,35.1453,49.6025,1
0_R00X083Y136,-10.9046,35.1628,49.7558,1
0_R00X083Y137,-10.8882,35.1582,49.8919,1
0_R00X083Y138,-10.8857,35.1595,50.0402,1
0_R00X083Y139,-10.8877,35.1531,50.165,1
0_R00X083Y140,-10.8883,35.1447,50.281,1
0_R00X083Y141,-10.8895,35.1452,50.4184,1
0_R00X083Y142,-10.886,35.1429,50.5247,1
0_R00X083Y143,-10.8872,35.1427,50.6809,1
0_R00X083Y144,-10.8884,35.14,50.7762,1
0_R00X083Y145,-10.8925,35.1401,50.8881,1
0_R00X083Y146,-10.8944,35.1373,50.9785,1
0_R00X083Y147,-10.8987,35.1355,51.0776,1
0_R00X083Y148,-10.9051,35.1186,51.2294,1
0_R00X083Y149,-10.9155,35.1004,51.3746,1
0_R00X083Y150,-10.9218,35.0879,51.4616,1
0_R00X083Y151,-10.9351,35.0825,51.5745,1
0_R00X083Y152,-10.9598,35.0666,51.7371,1
0_R00X083Y153,-10.9729,35.0416,51.8236,1
0_R00X083Y154,-11.0029,35.019,51.9468,1
0_R00X083Y155,-11.0277,34.9996,52.0368,1
0_R00X083Y156,-11.059,34.9817,52.1356,1
